id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Broome,US,42.2506,-75.833,22.17,87,0,4.61,clear sky
184,Kavieng,PG,-2.5744,150.7967,82.35,75,98,5.41,light rain
185,Shitanjing,CN,39.2342,106.3439,16.65,84,98,2.28,overcast clouds
186,Makakilo City,US,21.3469,-158.0858,80.92,62,0,14.97,clear sky
187,Salvador,SV,13.8333,-88.9167,71.06,89,0,2.24,clear sky
188,Maragogi,BR,-9.0122,-35.2225,78.46,78,100,12.12,overcast clouds
189,Masvingo,ZW,-20.0637,30.8277,67.57,76,57,3.53,broken clouds
190,Labuhan,ID,-6.8844,112.2051,83.37,70,56,4.23,light rain
191,Clyde River,CA,70.4692,-68.5914,23.23,80,100,31.07,light snow
192,Lodja,CD,-3.4833,23.4333,64.38,100,100,1.21,overcast clouds
193,Kangar,MY,6.4414,100.1986,77.25,85,45,8.48,scattered clouds
194,Cabedelo,BR,-6.9811,-34.8339,79.47,78,55,10.54,broken clouds
195,Beruwala,LK,6.4788,79.9828,75.76,84,99,2.95,overcast clouds
196,Luanda,AO,-8.8368,13.2343,77.0,88,75,5.75,light rain
197,Ilulissat,GL,69.2167,-51.1,23.02,63,100,8.05,overcast clouds
198,Sorong,ID,-0.8833,131.25,77.85,88,100,3.91,overcast clouds
199,Tiksi,RU,71.6872,128.8694,-30.19,98,59,7.56,broken clouds
200,Lazaro Cardenas,MX,17.9583,-102.2,75.61,77,6,6.08,clear sky
201,Zhezkazgan,KZ,47.8043,67.7144,6.87,88,8,10.56,clear sky
202,Remontnoye,RU,46.5614,43.6501,31.62,79,100,6.31,overcast clouds
203,El Naranjo,MX,21.4667,-98.6,67.62,61,0,6.76,clear sky
204,Haines Junction,CA,60.7522,-137.5108,22.75,97,100,2.71,light snow
205,San Patricio,US,28.017,-97.5169,69.66,32,0,9.82,clear sky
206,Nikolskoye,RU,59.7035,30.7861,28.29,87,100,14.09,overcast clouds
207,Broken Hill,AU,-31.95,141.4333,63.01,32,0,14.52,clear sky
208,Pilar,BR,-9.5972,-35.9567,75.13,78,100,8.93,overcast clouds
209,Srednekolymsk,RU,67.45,153.6833,-47.99,100,57,3.67,broken clouds
210,Poykovskiy,RU,61.2333,73.3333,-6.83,83,0,6.71,clear sky
211,San Policarpo,PH,12.1791,125.5072,82.62,80,100,12.84,overcast clouds
212,Krasnaya Gora,RU,52.9995,31.6023,22.55,88,100,11.63,overcast clouds
213,Hobyo,SO,5.3505,48.5268,76.21,72,7,15.97,clear sky
214,Radomsko,PL,51.0671,19.4448,21.51,97,100,5.39,light snow
215,Itoman,JP,26.1247,127.6694,66.58,59,75,14.97,broken clouds
216,Hailar,CN,49.2,119.7,-25.35,90,5,5.08,clear sky
217,New Norfolk,AU,-42.7826,147.0587,52.88,57,86,6.93,overcast clouds
218,Tyrma,RU,50.0833,132.1667,-17.43,85,100,6.82,overcast clouds
219,Souillac,MU,-20.5167,57.5167,75.69,81,69,10.29,broken clouds
220,Harrison,US,30.4091,-89.0436,73.42,94,100,12.66,overcast clouds
221,Krasavino,RU,60.9614,46.4814,23.34,92,100,10.38,overcast clouds
222,Assiniboia,CA,49.6334,-105.9845,14.81,95,100,12.77,light snow
223,Olafsvik,IS,64.8945,-23.7142,28.45,49,100,13.06,overcast clouds
224,Biltine,TD,14.5333,20.9167,69.82,16,40,12.71,scattered clouds
225,Valdivia,CL,-39.8142,-73.2459,60.89,96,1,1.43,clear sky
226,Mehamn,NO,71.0357,27.8492,15.75,86,20,8.05,few clouds
227,Mount Gambier,AU,-37.8333,140.7667,58.64,55,86,11.03,overcast clouds
228,Novosergiyevka,RU,52.0934,53.6528,11.75,83,97,7.09,overcast clouds
229,Avarua,CK,-21.2078,-159.775,77.05,88,75,12.66,moderate rain
230,Chuy,UY,-33.6971,-53.4616,65.93,64,0,12.21,light rain
231,Crateus,BR,-5.1783,-40.6775,84.49,43,100,4.0,overcast clouds
232,Gonnoi,GR,39.8667,22.4667,51.19,93,97,2.77,overcast clouds
233,Nemuro,JP,43.3236,145.575,28.15,48,1,30.85,clear sky
234,Khon Kaen,TH,16.5,102.0833,62.85,71,5,2.82,clear sky
235,Chinsali,ZM,-10.5414,32.0816,62.73,97,100,3.76,light rain
236,Fortuna,US,40.5982,-124.1573,45.99,86,0,0.0,clear sky
237,Klaksvik,FO,62.2266,-6.589,31.12,63,100,24.67,light snow
238,Dodola,ET,6.9833,39.1833,50.27,79,26,2.28,scattered clouds
239,Zhigansk,RU,66.7697,123.3711,-48.23,99,53,1.57,broken clouds
240,Lima,PE,-12.0432,-77.0282,75.9,65,0,14.97,clear sky
241,Kyabe,TD,9.4515,18.9449,75.36,19,1,4.72,clear sky
242,Kathmandu,NP,27.7167,85.3167,48.42,87,40,2.3,mist
243,Watsa,CD,3.0372,29.5355,61.68,95,10,2.1,clear sky
244,Csepreg,HU,47.401,16.7088,28.45,91,93,5.1,overcast clouds
245,Hamilton,US,39.1834,-84.5333,49.75,96,100,11.5,moderate rain
246,Boo,SE,59.3333,18.2833,17.76,91,99,2.3,overcast clouds
247,Hohhot,CN,40.8106,111.6522,8.8,40,31,8.61,scattered clouds
248,Polunochnoye,RU,60.8697,60.4153,-0.06,92,81,5.5,broken clouds
249,Kutum,SD,14.2,24.6667,57.69,26,6,6.26,clear sky
250,Vanimo,PG,-2.6741,141.3028,80.19,87,100,1.74,overcast clouds
251,Kurilsk,RU,45.2333,147.8833,26.71,68,100,34.92,light snow
252,Thompson,CA,55.7435,-97.8558,23.94,96,100,7.14,overcast clouds
253,Yar-Sale,RU,66.8333,70.8333,4.39,85,100,12.93,overcast clouds
254,Qandala,SO,11.472,49.8728,71.82,65,18,3.78,few clouds
255,Kisarazu,JP,35.3747,139.9225,50.05,41,20,5.66,few clouds
256,Kangaatsiaq,GL,68.3065,-53.4641,19.62,95,100,15.03,light snow
257,Port-Gentil,GA,-0.7193,8.7815,79.61,77,100,7.72,light rain
258,Vao,NC,-22.6667,167.4833,75.83,65,0,4.68,clear sky
259,Tala,EG,30.6803,30.9429,57.52,92,18,2.39,few clouds
260,Dongning,CN,44.0622,131.1207,6.85,46,0,12.46,clear sky
261,Bethel,US,41.3712,-73.414,32.9,65,0,6.91,clear sky
262,The Valley,AI,18.217,-63.0578,79.83,73,7,15.86,clear sky
263,Bogovarovo,RU,58.9785,47.0246,22.37,95,100,8.3,overcast clouds
264,Poya,NC,-21.35,165.15,85.15,57,11,4.74,few clouds
265,Villacarrillo,ES,38.1156,-3.0848,47.34,87,13,6.89,few clouds
266,Monclova,MX,26.9,-101.4167,69.28,32,0,1.99,clear sky
267,Suoyarvi,RU,62.0833,32.35,24.31,95,100,11.41,snow
268,Curuguaty,PY,-24.4694,-55.6945,69.78,68,0,3.87,clear sky
269,Murdochville,CA,48.9583,-65.5006,29.14,96,100,16.22,light snow
270,Panaba,MX,21.2833,-88.2667,78.31,69,4,13.42,clear sky
271,Pevek,RU,69.7008,170.3133,-33.09,99,75,7.67,broken clouds
272,Kavaratti,IN,10.5669,72.642,81.0,76,8,12.93,clear sky
273,Silver City,US,32.7701,-108.2803,31.96,78,0,10.36,clear sky
274,Kjollefjord,NO,70.9457,27.3465,21.25,86,20,8.05,few clouds
275,Saint George,US,37.1041,-113.5841,42.94,57,0,8.05,clear sky
276,Ajdabiya,LY,30.7554,20.2263,66.25,50,15,10.13,few clouds
277,Palana,RU,59.1167,159.9667,29.39,75,100,22.12,overcast clouds
278,Murgab,TM,37.4966,61.9714,46.08,41,0,0.94,clear sky
279,Kulhudhuffushi,MV,6.6221,73.07,80.62,75,74,9.84,broken clouds
280,Pavlovsk,RU,50.4578,40.1081,21.06,94,61,1.57,broken clouds
281,Wattegama,LK,6.7989,81.4808,71.49,88,94,2.84,overcast clouds
282,Unecha,RU,52.8459,32.6739,22.51,88,100,10.4,overcast clouds
283,Geraldton,AU,-28.7667,114.6,77.41,53,0,8.05,clear sky
284,Dryden,CA,49.7833,-92.7503,30.49,93,100,6.91,light snow
285,Sur,OM,22.5667,59.5289,72.97,54,0,11.36,clear sky
286,Zhaotong,CN,27.3167,103.7167,38.37,86,99,1.61,overcast clouds
287,Kota Tinggi,MY,1.7381,103.8999,79.14,77,100,4.12,moderate rain
288,Nanortalik,GL,60.1432,-45.2371,16.25,62,1,8.46,clear sky
289,Fernie,CA,49.5,-115.0687,17.37,99,92,1.3,overcast clouds
290,Sibolga,ID,1.7427,98.7792,77.92,82,37,1.66,scattered clouds
291,Antofagasta,CL,-23.65,-70.4,65.48,75,70,4.21,broken clouds
292,Kuala Terengganu,MY,5.3302,103.1408,75.69,89,100,3.94,light rain
293,Calvia,ES,39.5657,2.5062,63.21,92,100,17.74,overcast clouds
294,Hambantota,LK,6.1241,81.1185,71.94,100,75,4.61,broken clouds
295,Manado,ID,1.487,124.8455,79.57,89,40,2.3,scattered clouds
296,Vokhtoga,RU,58.8147,41.0461,12.34,96,91,7.38,overcast clouds
297,Codrington,AU,-38.2667,141.9667,56.61,57,100,14.97,overcast clouds
298,Fort Morgan,US,40.2503,-103.8,27.25,68,100,21.85,overcast clouds
299,Provideniya,RU,64.3833,-173.3,14.36,73,100,18.01,light snow
300,Boa Vista,BR,2.8197,-60.6733,80.58,74,0,9.22,clear sky
301,Roald,NO,62.5833,6.1333,33.33,75,86,4.07,light snow
302,Boyuibe,BO,-20.4167,-63.2833,74.97,73,73,4.54,broken clouds
303,Ahipara,NZ,-35.1667,173.1667,72.88,72,71,8.81,broken clouds
304,Karaidel,RU,55.8337,56.9069,2.34,90,19,4.14,few clouds
305,Sola,VU,-13.8833,167.55,81.75,66,18,8.97,few clouds
306,Moree,AU,-29.4667,149.85,72.45,22,44,12.64,scattered clouds
307,Ukiah,US,39.1502,-123.2078,50.43,75,0,0.0,clear sky
308,Karratha,AU,-20.7377,116.8463,91.06,20,0,14.38,clear sky
309,Nabire,ID,-3.3667,135.4833,80.4,87,100,1.52,light rain
310,De Aar,ZA,-30.6497,24.0123,69.57,56,0,7.18,clear sky
311,Cap Malheureux,MU,-19.9842,57.6142,74.46,89,21,1.01,light rain
312,Butka,RU,56.7179,63.7866,1.35,86,11,7.27,few clouds
313,Hirapur,IN,21.5333,79.7667,68.38,38,96,5.06,overcast clouds
314,Walsrode,DE,52.8667,9.6,23.02,64,3,6.44,clear sky
315,Okhotsk,RU,59.3833,143.3,6.3,75,100,13.49,overcast clouds
316,Kirakira,SB,-10.4544,161.9205,84.27,71,22,5.66,few clouds
317,Wakema,MM,16.6,95.1833,74.53,80,100,3.24,overcast clouds
318,Port Hedland,AU,-20.3167,118.5667,86.05,66,0,8.05,clear sky
319,Iracoubo,GF,5.4802,-53.2011,78.42,84,94,12.46,overcast clouds
320,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.64,77,51,8.52,broken clouds
321,Krasnoborsk,RU,61.5598,45.934,23.41,87,100,9.82,overcast clouds
322,Port Augusta,AU,-32.5,137.7667,68.61,32,9,9.37,clear sky
323,Oktyabrskoye,RU,43.0645,44.7417,33.31,94,100,0.89,overcast clouds
324,Lisala,CD,2.15,21.5167,67.32,90,11,1.48,few clouds
325,Airai,TL,-8.9266,125.4092,73.87,57,100,1.25,overcast clouds
326,Rio Grande,BR,-32.035,-52.0986,69.15,68,0,15.7,clear sky
327,Najran,SA,17.4924,44.1277,56.28,50,100,1.86,overcast clouds
328,Anadyr,RU,64.75,177.4833,-8.9,84,40,8.95,mist
329,Tymovskoye,RU,50.8456,142.655,8.02,93,97,12.21,snow
330,Znamenka,RU,52.4167,41.4311,21.74,93,100,5.28,light snow
331,Ust-Maya,RU,60.4167,134.5333,-45.11,98,100,1.97,overcast clouds
332,Nelson Bay,AU,-32.7167,152.15,69.85,43,6,8.99,clear sky
333,Bireun,ID,5.203,96.7009,74.43,93,100,5.1,moderate rain
334,Baijiantan,CN,45.6333,85.1833,10.2,95,100,6.51,overcast clouds
335,Narsaq,GL,60.9167,-46.05,12.42,63,7,9.15,clear sky
336,Seymour,US,38.9592,-85.8903,53.58,96,100,5.99,moderate rain
337,Kaa-Khem,RU,51.6833,94.7333,-15.02,99,100,0.98,overcast clouds
338,Almaznyy,RU,48.0448,40.045,25.74,78,83,6.04,broken clouds
339,Rjukan,NO,59.8789,8.5941,22.05,84,100,6.42,overcast clouds
340,Cavalcante,BR,-13.7975,-47.4583,67.73,98,100,2.21,light rain
341,Fort Nelson,CA,58.8053,-122.7002,24.39,96,100,2.35,overcast clouds
342,Shenjiamen,CN,29.9576,122.298,48.47,52,0,5.59,clear sky
343,Yokadouma,CM,3.5167,15.05,67.55,70,6,1.86,clear sky
344,Coihueco,CL,-36.6167,-71.8333,68.74,52,0,9.22,clear sky
345,Hun,LY,29.1268,15.9477,66.61,39,0,5.86,clear sky
346,Rach Gia,VN,10.0167,105.0833,74.14,78,53,12.97,broken clouds
347,Tokur,RU,53.1333,132.9,-18.02,95,100,2.28,overcast clouds
348,Mercedes,AR,-34.6515,-59.4307,78.94,25,10,8.84,clear sky
